ID,Name,Purpose,Alpha Acid Low,Alpha Acid High,Beta Acid Low,Beta Acid High,Co-Humulone Low,Co-Humulone High,Country,Storability,Total Oil Composition,Myrcene Oil Low (mL/100g),Myrcene Oil High (mL/100g),Humulene Oil Low,Humulene Oil High,Caryophyllene Oil Low,Caryophyllene Oil High,Farnesene Oil Low,Farnesene Oil High,Linalool Oil Low,Linalool Oil High,Polyphenols Oil Low,Polyphenols Oil High,Substitutes,Style Guide,Also Known As,Characteristics,Description,Flavors
1fce013c-d0e6-4f7d-b309-c9371c9cf43b,Cluster (US),,5.5,8.5,4.5,5.5,,,,,0.4 - 0.8,45,55,,,,,,,,,,,,,,,"Cluster (US) is thought to be one of the oldest and most robust hop crops in the US. With its balanced aroma and bittering profile and outstanding storage stability, it has long been a go to hop of large commercial breweries in the US.","Strawberry, Lemon tea, Apricot, Creamy, Grapefruit"
e3f17ee4-dfdc-48d4-a817-4fb057ad899c,Cobb,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cobb, also known as Cobb’s Golding, is a product of Canterbury Whitebine. Introduced in 1881 by Mr. John Cobb, it is among the varieties known as ‘Goldings’. A high-yielding aroma hop, it bears a classic English flavor and is lightly hoppy. In the past, it was in demand for copper and dry hopping in traditional English ales though its production has been curtailed now due to a susceptibility to wilt and mildew. It is known for its exquisite and delicate aroma.",
e83bf36f-530f-43d0-ac21-ef54f270cdbd,Coigneau,,,,,,,,Belgium,,,,,,,,,,,,,,,,,"Cagneau, Cagnau, Carnau",,"Originating from the 18th century, Belgian Coigneau hops have largely disappeared. Light on bitterness, Coigneau hops were often employed in Lambic beers and to a lesser extend, Pilsners.",
1c1e4a1e-5cb8-4dbf-a22a-c0d70be456a4,Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia enjoyed limited production in the 1980’s but was later discontinued in favor of Willamette. However, as craft brewers have started to discover Columbia’s unique, pungent kick of hoppiness and notable twist of lemon citrus, it seems to have come back in to fashion. Columbia was returned to production in 2011. Now it’s used in Widmer Bros. Columbia Common Spring Ale among others.",
3bc68df3-1539-4183-a518-41a5f6002b28,Columbus,,15,17,4.5,5,,,,,2.5 - 3.5,50,60,,,,,,,,,,,,,,,"The exact lineage of the proprietary hop Columbus is unknown. Its namesake was created in part as the result of a legal dispute between Hopunion and Yakima Chief when both parties attempted to patent the same hop. Yakima Chief’s variety was named Tomahawk®. After an agreement was reached, both names were registered. They are technically the same hop however.","Lemon grass, Vanilla, Orange peel, Curry"
3a47f79f-a7f8-4041-8777-4c6da884d4ca,Comet,"Bittering, Aroma",9.4,12.4,3,6.1,41,,US,Retains 49% alpha acid after 6 months storage at 20ºC (68ºF),1.4 - 3.3,40,65,67,,1,,10,,,,,,0.1%,"Galena, Summit™",,"Strong grapefruit, dank resin flavors","Comet has an intriguing parentage of English Sunshine and a native American hop, bringing out a “wild American” flavor. Released in 1974 by the USDA, Comet was originally bred to address the needs for higher alpha hops. Today, it is no longer in commercial production and is somewhat difficult to find.","Mandarin, elderberry sirup, Geranium, Lemon grass, Resin"
38323d09-e7ed-46d9-aa36-9c3e59bcb63b,Crystal,Aroma,4,6,5.8,7,21,26,,Retains 65% alpha acid after 6 months storage at 20ºC (68ºF),0.8 - 2.1,40,65,47,,26,,7,,,,,,Trace Amounts,"Liberty, Mount Hood, German Hallertau, Ultra, Strisselspalter, Hersbrucker",,"Woody, floral and fruity with spice notes of cinnamon, nutmeg and black pepper","Despite a relatively low yield, Crystal’s has made it a fairly popular hop. It’s woodsy, green, floral and fruity with herb and spice notes of cinnamon, nutmeg and black pepper. Extremely versatile, it’s even used for its notable aromatic qualities in IPAs and Bitters despite its low alpha acid content.","Passion fruit, Lime, Camomile blossom, Apricot, Lemon grass"
aa4aa444-0bd5-4b8b-ba3d-ac77ce48a4cd,Extra Styrian Dana,,12.5,18.8,4.2,6,,,,,2.4 - 3.9,42,60,,,,,,,0.5,1,,,,,,,"Dana, or Extra Styrian Dana as it is often known, is a Slovenian hop bred from Hallertau Magnum and a wild Slovenian male. A product of the Institute of Hop Research in Zalec, Solvenia, it is said to feature quality and harmonious bittering properties alongside a slightly floral and citrus flavor profile.","Juniper, Orange, Wild garlic, Pear"
058787bf-2add-42d8-9817-9b633a028f26,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,,"Defender has an interesting heritage. Bred from a New Mexico Wild American female, Eastwell Golding and other English hops, it was selected in the early 1960’s by Dr R. A. Neve at Wye College in England. Despite its significant humulene and farnesene content, Defender’s very low alpha percentage and low yield potential has significantly hindered its commercial viability. It may show promise in breeding though with a high alpha to beta ratio. It is said to impart a pleasant, European-style aroma.",
8b895c73-583e-4a13-b716-71c8398e1d2c,Delta,Aroma,7,,5.5,7,22,24,US,Retains 80%-90% alpha acid after 6 months storage at 20ºC (68ºF),,0.5,1.1,25,40,25,35,9,15,,,,,0%-1%,"Cascade, Nelson Sauvin, Fuggle, Willamette",Hopsteiner 04188,Spicy with notes of melon and citrus,"Released in 2009, aroma variety Delta is a relatively new kid on the block. It is a Fuggle-type hop, similar to a Willamette, but with a kick. It features a mild and pleasantly spicy aroma of with notes of melon and citrus. Delta is considered ideal for ale finishing.",
1d5dc24a-8179-4d07-a66c-a61792e81daa,Density,,,,,,,,,,,,,,,,,,,,,,,,,,,"Density shares the same interesting heritage as its sibling, Defender. Selected by Dr R. A. Neve at Wye College in England, Density was born as a cross from a New Mexico Wild American female hop, Eastwell Golding and other English hops. However, its very low alpha content and low yield potential has caused it to be discontinued from commercial production in England. Like it’s sibling, it is said to also feature a pleasant, European-style aroma.",
f255e75a-f317-4b9e-9556-47c7f0f0cb57,Dr Rudi,"Bittering, Aroma",12,,7,8.5,36,39,New Zealand,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1.3,1.6,29,48,22,33,6,10,,,,,0%-1%,Green Bullet,"SuperAlpha, Super Alpha, Dr Rudi","Grass, pine and citrus flavors","Originally known as SuperAlpha, the variety was renamed to Dr Rudi in 2012. It was bred from New Zealand Smooth Cone and is largely grown in New Zealand. It was originally released in 1976.",
69993553-5f26-41e5-bf3a-528713229f0a,Dunav,,,,,,,,,,,,,,,,,,,,,,,,,,,"Originating in the former Yugoslavia, Dunav was bred in the 1960’s with the intent of replacing the low-yielding Backa. However, it has never truly been accepted commercially and remains in limited production in Serbia. It is a triploid cross from Northern Brewer, Styrian Golding and a wild male. Sibling to Neoplanta and Vojvodina, Dunav tends to exhibit a variable alpha acid rate but enjoys good storage stability.",
60e663a5-83b4-4a70-97f4-4780e1f384ba,Diamant,,,,,,,,,," - ",,,,,,,,,,,,,,,,,,"Fennel, Lavender, Citrus"
ad44c30f-ea22-4a82-8f07-bda961290ff8,Early Bird,Aroma,6.7,,1.9,2.8,26,32,UK,,,0.8,,,,,,,,,,,,,"East Kent Golding, Cobb, Bramling Cross",Amos’s Early Bird,"Pleasing, delicate aroma","Early Bird, or Amos’s Early Bird as it was formerly known, is a Goldings variety and considered one of England’s premier aroma hops. While not terribly disease and wilt tolerant, it is bred for its immensely pleasing aroma and gentle hoppiness.",
50162b7d-bc84-443e-afd0-80da16670aa8,Early Green,,,,,,,,,,,,,,,,,,,,,,,,,,,"Developed in the UK, Early Green arrived in the US in the early 1930’s. To this day, little analytical data can be found on the variety. Despite gaining almost no traction as a brewing hop in its own right, it was chosen as a parent in the breeding of many classic varieties like Crystal, Horizon, Nugget and Mount Hood, among others.",
e476bac1-75f2-4f8d-82f8-e0c2f54f91bc,Early Prolific,,,,,,,,,,,,,,,,,,,,,,,,,,,"Originating from Wye College in England, Early Prolific has a pleasant continental-style aroma but is not currently produced commercially as a result of its poor growth rate and lackluster yield. It received USDA accession in 1980. Despite having little commercial impact as a brewing variety, Early Prolific may however exhibit some breeding potential on the basis of its aromatic characteristics and impressive storage stability.",
f7fb4441-4932-426e-a384-7509a8318724,Early Promise,,,,,,,,,,,,,,,,,,,,,,,,,,,"Early Promise was originally selected at Wye College, England, most likely from an old English variety through mass selection. Though originally slated for use as an aroma hop in the US, its poor yield in its USDA Corvallis plot eventually led to its discontinuation as a commercial prospect. Like Early Prolific, Early Promise may be useful for breeding aroma hops with a continental-style aroma.",
32fd2312-a1a9-4c89-93e3-3f9433351223,East Kent Golding,Aroma,4.5,6.5,2,3,29,,,Retains 78% alpha acid after 6 months storage at 20ºC (68ºF),0.4 - 0.8,18,28,42,,27,,9,,0.5,0.8,,,0%-1%,"Whitbread Golding, Progress, Fuggle, First Gold","Kent Golding, EKG, Canterbury Golding","Aromas of lavender, spice, honey, thyme, earthy flavors","East Kent Golding is often thought of as the ultimate English hop. Grown exclusively in Kent, England and descended from Canterbury Whitebine, it is a centuries old variety. Despite claims to the contrary, it is identical to Canterbury Golding. The two names have been used interchangeably for some time. Canterbury is a town in East Kent and the hop was first brought to market there in 1790. Some, however, charge to this day that East Kent Golding and Cantebury Golding are two distinct varieties though there is no clear evidence to support this. The variety began to be known primarily as East Kent Golding in 1838.","Citrus, Artichoke, Spicy, Woodruff, Gingerbread"
31c6601b-f6fb-4cc6-bef0-d787f7228301,Eastern Gold,Bittering,14,,5,6,27,,Japan,Retains 81% alpha acid after 6 months storage at 20ºC (68ºF),,1.43,,42,,19,,7,8,,,,,3%,Brewer’s Gold,,,"Eastern Gold is a Super Alpha variety developed in Japan by Kirin Brewing Co. Ltd Hops Research from Kirin No. 2 and OB79, an open-pollinated wild American hop. Despite its yield potential, high alpha acids and storage stability, it seems it is not currently being grown in any significant commercial capacity.",
5ca1df1a-4ede-40b8-91cd-40ef001a4db3,Eastern Green,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eastern Green is an aroma variety developed and tested in the 1980’s by the Kirin Brewery Co. Ltd. Hop Research Center in Iwate, Japan. It was conceived via an open pollination cross with named parent varietal, Toyomidori. In addition to its high vigor and yield, it is said to have desirable continental-style aroma traits.",
bb38bbea-c428-42cf-ada4-42324c066789,Eastwell Golding,,,,,,,,,,,,,,,,,,,,,,,,,,,"Created via clonal selection in 1889 in Kent, England, Eastwell Golding is one of the many varieties of Golding aroma hops. Exhibiting a typical English hop aroma, it is currently in demand for copper and dry hopping and usually employed in English and Belgian Ales.",
498d7673-800f-4910-9ef2-62d7465b2255,El Dorado ®,"Bittering, Aroma",17,,7,8,28,33,US,Retains 60%-75% alpha acid after 6 months storage at 20ºC (68ºF),,2.5,3.3,55,60,10,15,6,8,,,,,0.1%,"Galena, Simcoe®",,"Flavors of tropical fruit, pineapple, mango. Aromas of pear, watermelon, stone fruit and candy.","El Dorado is a relatively new kid on the block. Created by Moxee Valley-based CLS Farms, LLC in 2008, it was released to the public in 2010. A product of the Yakima Valley’s cooler climate, it features a uniquely fruity flavor profile in addition to desirable bittering and aromatic properties.",
3cab86c1-8061-41bd-b6a9-bb2633a17e76,Ella™,Aroma,13.3,16.3,4.8,7.8,34,38,Australia,,2.4 - 3.4,2.4,3.4,40,50,16,22,12,18,0.5,0.6,,,0%-1%,,Stella,"Tropical flavors, grapefruit, star anise","Ella™ hops, formally known as Stella, is an Australian aroma variety. It is half-sister to Galaxy® and the progeny of Spalt and a tetraploid female and was developed in the state of Victoria in the early 2000’s. By 2007, Ella™ was ready for release in brewing trials. An immediate hit, the variety was fast-tracked into commercial production.","Citrus, Lavender, Bergamot oil, Sage, Melissa"
37c3c1c5-839f-4b7d-971a-383da6ec3bb0,Elsaesser,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Elsaesser’s commercial production is confined to very limited acreage in the Alsace region of France. It most likely originated from an old land race in the same area. Elsaesser has an aroma akin to that of noble European varieties. Charlemagne’s father, Peppin the Younger, was said to have had a hops garden in the 7th century. Even though the use of hops in beer isn’t recorded until the 9th century, perhaps todays Elsaesser hops are a descendant of the same variety that graced that very garden.",
3e215714-f827-4150-bcf1-7eca6e1bafae,Endeavour,,7.5,10.6,3.8,5.3,,,,,1.2 - 1.8,27,37,,,,,,,,,,,,,,,,"Blackberry, Bergamot, Gingerbread, Lemon, Watermelon"
41438ddc-6143-4b7e-8a55-60e5f48ac4cd,Enigma™,,13.5,16.5,4.8,6.4,,,,,2.4 - 3,20,35,,,,,,,0.3,0.4,,,,,,,,"Nutmeg, Passion fruit, Red currant, Camomile, Rose hip"
7d314df5-91e2-4fd3-b56d-6d6bff2f684e,Equinox,,,,,,,,,,,,,,,,,,,,,,,,,,,"Developed by The Hop Breeding Company, a joint venture between John I Haas and the Select Botanicals Group, Equinox is a distinctive aroma hop. Planted originally in Toppenish, Washington and officially unveiled in 2014, its use is said to bring with it notes of lemon and lime citrus, fruits like papaya and apple as well as green peppers and herbs.",
a56e2d7e-8a90-4975-9b8e-a81e73ab845f,Eroica,Bittering,,,4.5,,40,,,Retains 77% alpha acid after 6 months storage at 20ºC (68ºF),Easy,0.8,1.3,55,65,0,1,7,13,,,,,0%-1%,"Bullion, Brewer’s Gold, Galena",,Sharp fruity essence,"Despite Eroica hops enjoying a high alpha acid percentage, they are, on paper at least, overshadowed by their sister Galena. It appears this comparison is also moving them toward denouement of commercial production along with their cones being considered difficult to harvest and it’s susceptibility to Ringspot and Mosaic virus.",
e0729b6c-e333-473f-ac1c-3e65ca8af611,Eureka,,,,,,,,,,,,,,,,,,,,,,,,,,,"With similarities to Simcoe® and Summit™ hops, Eureka is a fairly new variety with very strong bittering qualities and a complex and robust flavor and aroma profile. It is said to impart flavors of citrus, resin, tropical and dark fruit along with aromas of grapefruit rind, citrus and tangerine. It is the progeny of varietals Apollo and Merkur.",
30105d55-ccd1-4f8e-beb4-9845e2846477,Ekuanot®,,14.5,15.5,4.5,5.5,,,,,2.5 - 4.5,30,45,,,,,,,,,,,,,,,,"Guava, Fennel, Strawberry, Grapefruit, Gooseberry"
42fc4fb2-9991-49b6-b750-c75f3899fb3a,Falconer’s Flight®,,,,,,,,,,,,,,,,,,,,,,,,,,,"Falconer’s Flight® is a proprietary blend of Pacific Northwest hops. These include 7 “C” hops, Cascade, Centennial, Chinook, Citra®, Cluster, Columbus and Crystal in addition to experimental varieties developed by Hopunion LLC.",
69ed61e6-3aa9-4090-afdd-5a81f32733e0,Fantasia®,,,,,,,,,,,,,,,,,,,,,,,,,,,"A proprietary blend created by the Barth-Haas group, Fantasia® claims to bring a cream and caramel character to your brew. Other observations have suggested that while this might be the case on some level, it has a much more significant profile of fruit and classic European noble characteristics.",
21fcc0d5-1a90-4106-8f6c-6ef6f90d8036,Feux-Coeur,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cheekily named Feux-Coeur (aka Feux-Coeur Francais) is an Australian bittering hop with genetic roots in Burgundian France. First harvested in 2010, the breed is considered rare and bred specifically to be grown in the cooler, southern state of Victoria. Unfortunately little has been written about its best utilization or flavor profile at this stage.",
edadc9d4-de29-41f6-9b88-ae986cdad738,First Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,"First Choice is a New Zealand variety that was grown commercially for 20 years between the 1960s and the 1980s. It is no longer in commercial production, likely a result of its low alpha content. It was selected by Dr R.H.J. Roborgh at the Riwaka Research Station, much like its parent, California Cluster. It possesses high yield and growth potential but little is known about its flavor and aroma profile.",
90004a74-8d2c-4217-b454-fac758a58c0a,First Gold,"Bittering, Aroma",5.6,8.7,2.3,4.1,31,36,UK,Retains 80%-85% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,0.7,1.5,24,28,20,24,6,7,0.4,0.6,,,2%-4%,"Willamette, East Kent Golding, Styrian Golding",,"Tangerine, orange, cinnamon aroma, marmalade flavors","First Gold is a Golding variety, bred from Whitbread Golding and a dwarf variety at Wye College in England. It was released in 1996 and has the distinction of being England’s first hedgerow hop. For brewers, it is useful in just about any style.","Marjoram, Celeriac, Strawberry, Yoghurt"
dd7dcebd-0af7-4af9-a44c-413764bb47ff,Fuggle,,3,5.6,2,3,,,,,0.7 - 1.4,24,28,,,,,,,0.5,0.7,,,,,,,"The Fuggle hop originates in England and was first discovered in 1861 in a hop yard owned by George Stace in Kent. Some 14 years later it was officially named and introduced by Richard Fuggle of Benchley in 1875. Similar to a Styrian Golding, is noted for its distinct European aroma and has enjoyed a long, versatile run. At its peak nearly 100 years ago Fuggle was known as a dual-use hop. Today however, as other higher alpha acid varieties have become more prevalent, it’s now more prominently used for its aroma.","Curry, Celeriac, Green tea, Hay"
b07f7e8a-acc8-4e93-b603-e682a91674bf,Fuggle (US),,,,,,,,,,,,,,,,,,,,,,,,,,,"Fuggle (US) has slightly less aroma impact than its English counterpart. Grown at first in Oregon and now in Washington, it features a more balanced oil profile and higher alpha acid content than the original UK variety giving it a fruitier flavor profile. In commercial circles, it has now largely been replaced by Willamette.",
12e3fdf4-c628-4ada-a294-2345abc2f258,Fuggle H,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fuggle H is one of several Fuggle hybrids. Selected in 1961 at Corvallis, Oregon, from the original Fuggle, it carries the same alpha acids content as Fuggle (US) and is known to bear a robust woody and fruity aroma. With the announcement in 1997 that Anheiser Beusch was phasing out Fuggle, production in the US has declined.",
bb28523e-9cda-41c3-ab00-bf31c66de5bd,Fuggle N,,,,,,,,,,,,,,,,,,,,,,,,,,,Fuggle N is a clonal selection from the original Fuggle. It was selected in 1943 as part of a trial that began in 1931 at the East Malling Research Station. It is not produced commercially; rather it is used for breeding.,
9203e75f-1194-4dc2-a907-0bdb2143bf1a,Fuggle Tetraploid,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fuggle Tetraploid is both an aroma and a bittering hop, and the female parent of both Columbia and Willamette. It is one of the descendants of the original English Fuggle hops.",
924764d7-df1d-41c6-8369-93d717bf8e44,Furano Ace,,,,,,,,,,,,,,,,,,,,,,,,,,,"Furano Ace is an aroma hop originally cultivated by Sapporo Brewing Co. Ltd. in the late 1980’s. Bred from a mix of Saaz and Brewer’s Gold, it has a pleasing European-style aroma but it is no longer grown in any significant commercial capacity. It was primarily grown in an effort to create a Saaz-like aroma variety that would outperform the then common Shinshuwase hops variety.",
a8b1938a-9760-4111-a2a2-11a3631466d1,Galaxy ®,"Bittering, Aroma",11,16,5,6.9,32,42,Australia,,2.4 - 2.7,3,5,33,67,1,2,7,9,0.5,0.8,,,2%-4%,"Citra®, Amarillo®, Centennial",,"Citrus, peach and passionfruit aromas","Descended from German variety Perle, Galaxy® is a unique Australian breed of hops that has the distinction of sporting the highest percentage of essential oils in the industry.","Peach, Blackberries, Blueberries, Cassis, Aniseed"
f9123b45-cf29-4dcd-868d-ef827b635f56,Galena,,11.5,13.5,7.2,8.7,,,,,0.9 - 1.3,55,60,,,,,,,,,,,,,,,Super alpha Galena is one of the most widely used bittering hop varieties in the US and is also an excellent dual-use hop.,"Lime, Gooseberry, Pear, Pineapple"
82aea4d5-aa64-4347-8367-72fb4a5704a4,Gargoyle,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gargoyle, along with Ivanhoe, is a new generation of California Cluster and the first to be grown commercially in over half a century. Revived by organic hop farm Hops-Mesiter, LLC near Clearlake, California, it is similar to Ivanhoe but tends more toward a citrusy-mango bouquet.",
fff5d0d6-8918-44d9-9a81-ef0414b3b897,Glacier,"Bittering, Aroma",3.3,9.7,5.4,10,11,16,,Retains 70%-75% alpha acid after 6 months storage at 20ºC (68ºF),Easy,0.7,1.6,33,62,24,36,7,13,,,,,0%-1%,"Willamette, Fuggle (US), Tettnanger, Golding (US)",,"Herbs, wood and citrus","Developed by Washington State University and released in 2000, Glacier is a high yielding, dual-purpose hop characterized by low cohumulone levels, giving it a moderate and pleasant bitterness. Glacier’s aroma and flavor notes are herby, woody and citrusy.","Plum, Elderflower, Artichoke, Vanilla, Blackberry"
6dcd939a-6a70-4b98-921a-856cd555f0f4,Golden Star,,,,,,,,,,,,,,,,,,,,,,,,,,,"Golden Star is an aroma hop that is commercially grown only in Japan. It is, in essence, a mutant form of Shinshuwase that was selected by Dr. Y. Mori from the Sapporo Brewery some time in the late 1960’s or early 1970’s. Like many other Japanese varieties, it is the offspring of Saaz and Whitebine conceived through open pollination. It is considered superior to Shinshuwase only because of it’s increased yield and improved mildew resistance.",
5a33ca16-b3cb-4156-8a09-8512b5c99012,Golding (BC),,,,,,,,,,,,,,,,,,,,,,,,,,,"British Columbia Golding is produced, as one might expect, in Canada. Before the hops industry was fully established in the Pacific Northwest, BC Golding was the only North American-grown Golding. Its alphas are low so it’s bittering capacity is mild at best while it puts forward an earthy aroma profile and flavors of smooth, rounded spice. BC Golding makes a good, British-style pale and has also been noted for it’s successful use in Stouts and Porters.",
65cd2a6b-c764-4f3d-b152-6e34753bcec6,Golding (US),Aroma,6,,2,3,20,20,US,Retains 66% alpha acid after 6 months storage at 20ºC (68ºF),Moderate to difficult,0.4,1,25,35,35,45,13,16,,,,,1%,"East Kent Golding, Fuggle, Willamette, Progress, Whitbread Golding","US Golding, US Goldings, Northwest Goldings","Delicate English-style aromas, fruit, herbs","Golding (US) hops are descended from the original East Kent Golding. In North America, they were first grown in British Columbia, and then appeared in the state of Washington in 1993 and Oregon after that. They are no longer grown commercially in Canada. They feature a subtle bitterness when used as a early addition but are predominantly used for their quintessentially ‘English’ flavor and aroma.",
b996f469-78bc-499b-91f2-02292e73d567,Goldings (NZ),,,,,,,,,,,,,,,,,,,,,,,,,,,"New Zealand Goldings are said to have a subtle flavor and an enjoyable perfume with a nicely rounded bittering. It differs from the English Kent Golding in its delicate touch. In fresh beers, its flavor will only hold for about a month. Good traditional aroma hop used late in the boil or for dry hopping.",
44b51449-8da8-4126-b796-de94af1df061,Green Bullet,"Bittering, Aroma",15,,2.9,7,38,43,New Zealand,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),Easy,0.46,1.13,38.3,53,19,28.2,19,20,,,,,9.2%-20%,"Liberty, Hallertau, Crystal, Mount Hood, Ultra",,Aromas of raisin and fruit,"Green Bullet is a New Zealand hops variety, one of the first generation of new crosses attempted when Black Root Rot descended on New Zealand hops in 1949.",
81f43bd0-b6ab-407f-984e-ae81a58d3dfc,Greensburg,,,,,,,,,,,,,,,,,,,,,,,,,,,Greensburg is an American aroma hop grown mainly in southern Idaho and is used primarily by microbreweries. It has both fruity and woody notes. Its beta acids actually supersede its alpha acid content. Best when added to the end of a boil for aroma.,
aebbede9-5cca-4406-9704-a31da5cc0537,Groene Bel,,,,,,,,,,,,,,,,,,,,,,,,,,,"Groene Bel or Green Belle as it is otherwise known, is a long-lost Belgian hop that likely came about via clonal selection from native Aalst hops in the late 19th century or early 20th century. After World War II, Groene Bel all but vanished from hop production in Belgium after it was replaced by Czech and German favorites, Saaz and Hallertau. Although Groene Bel is no longer commercially produced, it has been used for breeding aroma hops in Zalec, Slovenia during the 1970’s. Its high humulene content is said to result in a pleasing, continental aroma.",
21bb2dfa-e149-4a42-82d7-6cd309399778,Hallertau,Aroma,3.5,,3.5,4.5,20,26,Germany,Retains 52%-58% alpha acid after 6 months storage at 20ºC (68ºF),Easy,0.6,1.2,35,44,30,55,10,15,,,,,0%-1%,"Liberty, Hallertau (US), Hallertauer Tradition","Hallertauer, Mittelfrüh, Mittelfrüher, Hallertauer Mittelfrüher, Hallertau Mittelfruh",Lightly flowery and spicy aroma,"Hallertau, Hallertauer and Hallertauer Mittelfrüher are all names for the original German Hallertau variety. Dating back more than 100 years, it stems from an old German landrace and is one of the original four “noble” hops. It features a lightly flowery and spicy aroma.",
71b94bf9-7975-498a-aa3e-3d9a89cf124e,Hallertau (NZ),Aroma,9,,5.8,8.5,28,35,New Zealand,Retains 80%-85% alpha acid after 6 months storage at 20ºC (68ºF),Moderate,0.9,1.1,35,48,10,16.8,6,8.2,,,,,5%-6.7%,"Hallertau, Perle",NZ Hallertau,"Distinct lime ‘zing’, delicately floral, clean tasting","New Zealand Hallertau is a triploid hop bred from Hallertau Mittelfrüher and a New Zealand male cultivar. First introduced in 1988 by HortResearch (now the New Zealand Institute for Plant and Food Research), it is purported to impart a distinct lime ‘zing’ beneath a delicately floral top.",
d0bfce18-fcee-4ef5-bf9e-6ac96a958485,Hallertau (US),,,,,,,,,,,,,,,,,,,,,,,,,,,"Hallertau (US) is definitely a tenacious, Bavarian-style hop. It long dominated its heritage region and is still in demand by craft brewers for Bavarian-style ales. As an American hop, it is outperformed by Mt. Hood and Liberty but is still holding its own. Its low alpha acids and high humulene contribute to a mild, flowery and delicately spicy aroma and flavor profile. The original German-grown Hallertau has long been the staple of German and European lagers.",
2f27532a-1a9b-4a2a-bd29-79fecb3cdb32,Hallertau Blanc,,9,11,4,7,,,,,1.5 - 1.8,,,,,,,,,,,3,5.9,,,,,"Hallertau Blanc, daughter of Cascade, was released to the world in 2012. Established on the Hüll farm in the German Hallertau region, it was grown primarily for use in American-style Ales. Hallertau Blanc’s flavor profile is said to be fruity, with wine-like qualities of gooseberry and grass, similar to that of Sauvignon Blanc. It also features a complex aroma profile with notes of cassis and elderflower in addition to grapes, grapefruit and lemongrass. Other notes detected in trials have been passionfruit, pineapple and gooseberry.","Lemon grass, Cassis, Elderflower, Grapefruit, Grapes"
40b50ade-2c28-45cc-83bb-3e5efba3abd8,Hallertauer Magnum,,11,16,5,7,,,,,1.6 - 2.6,30,45,,,,,,,0.2,0.7,2,3,,,,,,"Apple, Lemon, Mint, Chocolate, Green peppers"
89326ae2-c5d0-4577-ad9c-2849be0e88fa,Hallertauer Mittelfrüher,,3,5.5,3,5,,,,,0.7 - 1.3,20,28,,,,,,,0.7,1.1,4,5,,,,,,"Aniseed, Blackberry, Liquorice, Citrus fruits, Bergamot"
82d24241-c400-4a8b-b417-2d6c0d8d5309,Hallertauer Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,"A varietal of the German Institute for Hop Research in Huell, Germany, Hallertauer Gold is a descendant of Hallertau Mittelfrüher and is often marketed under various, similar names. Developed in the mid-1970s, it was released to the public in the late 1980s. A lot of commercially sold Hallertau is usually Hallertauer Gold or Hallertauer Gold combined with Hallertau Mittelfrüher. Its aroma is continental but with higher alpha acids and low cohumulone. This hop was bred to be more wilt resistant than its parent after persistent wilt became an issue in Germany.",
87f0ca30-e58c-476b-b702-ac3d29bd2d08,Hallertauer Taurus,"Bittering, Aroma",12,17,4,6,23,25,Germany,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,0.9,1.5,30,,30,31,8,,1,1.5,3,4,0%-1%,"Magnum, Merkur, Herkules","German Taurus, Taurus","Chocolate, banana, spice, pepper, curry","German born Hallertau Taurus features an earthy, strong aroma with hints of chocolate and banana, spice and pepper and finishes with a zesty curry undertone. It was released in 1995.","Chocolate, Pepper, Ripe banana"
93cd8374-7c6f-4124-b32e-d498b378491c,Hallertauer Tradition,Aroma,4,7,4,5,23,29,Germany,Retains 65%-70% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,0.9,1.9,20,25,40,55,10,15,0.7,1.2,4,5,0%-1%,Retains 65%-70% alpha acid after 6 months storage at 20ºC (68ºF),"Tradition, German Tradition, H Tradition","Earthy, grassy, aromas of nectar fruits","Hallertau Tradition is a Hüll-bred fine aroma hop originating from Hallertau Mittelfrüher, Hallertauer Gold and Saaz. Bred specifically for fungus and disease resistance, it succeeded in that effort and also features higher alpha acids than its parent varieties, low cohumulone and higher myrcene. It was released for commercial production in 1989.","Apricot, Peach, Cassis, Citrus, Orange"
f8ba2192-d415-4eb9-b586-3bb49da1faf6,Harmonie,,5,8,5,8,,,,,0.9 - 1.4,30,40,,,,,,,0.9,1.4,2.7,3.5,,,,,,"Banana, Creamy, Green tea, Apricot, Caramel"
