ID,Name,Purpose,Alpha Acid Low (%),Alpha Acid High (%),Beta Acid Low (%),Beta Acid High (%),Co-Humulone Low (%),Co-Humulone High (%),Country,Storability,Total Oil Composition Low (mL/100g),Total Oil Composition High (mL/100g),Myrcene Oil Low (%),Myrcene Oil High (%),Humulene Oil Low (%),Humulene Oil High (%),Caryophyllene Oil Low (%),Caryophyllene Oil High (%),Farnesene Oil Low (%),Farnesene Oil High (%),Linalool Oil Low (%),Linalool Oil High (%),Polyphenols Oil Low (%),Polyphenols Oil High (%),Substitutes,Style Guide,Also Known As,Characteristics,Description
,Ahtanum™,Aroma,4,6.3,5,6.5,30,35,US,Retains 50%-55% alpha acid after 6 months storage at 20ºC (68ºF),0.8,1.2,50,55,16,20,9,12,0,1,,,,,"Cascade, Amarillo®, Simcoe®, Centennial, Willamette","India Pale Ale, Pale Ale, Heffeweisen, American Ales, Lagers, Californian Common, Bitters",,Distinct citrus chracter with notes of grapefruit,"Yakima Valley bred Ahtanum™ is sweet and peppery with a piney-citrus aspect. Warmly aromatic and moderately bittering, Ahtanum™ is a hop of distinction. It is often likened to Cascade though without going that far, it makes more sense to say that Cascade may be an acceptable substitute. In comparison, Ahtanum™ is less bitter, its alpha acids are lower and its grapefruit essence is significantly more pronounced. It really is more akin to Willamette, with its notes of lemon and grapefruit. Ahtanum’s distinct citrus character led to it being used as the singular hop in Dogfish Head’s Blood Orange Heffeweisen and Stone Brewing’s Pale Ale."
,Aramis,Aroma,7.9,8.3,3.8,4.5,42,,France,,1.2,1.6,40,,21,,7.4,,2,4,,,,,"Willamette, Challenger, Ahtanum™, Strisselspalt, Centennial, Chinook, Hallertau, Tettnanger","Pilsner, Lager, Wheat, Saison, India Pale Ale, Belgian Ales, Pale Ale, Porter",,"Sweet with notes of spice, citrus and herbs","Aramis is an aroma hop from the Alsace region in France. Crossed in 2002, Aramis is a product of Strisselspalt and Whitbread Golding and was in fact the very first variety to come from the Comptoir Agricole breeding program. It inherited Strisselspalt’s excellent aromas while providing a more plentiful and stable bittering quality."
,Golden Star,Aroma,5.4,,4.6,,50,,Japan,Retains 64% alpha acid after 6 months storage at 20ºC (68ºF),0.63,,57,,13,,5,,,,,,,,,,,,"Golden Star is an aroma hop that is commercially grown only in Japan. It is, in essence, a mutant form of Shinshuwase that was selected by Dr. Y. Mori from the Sapporo Brewery some time in the late 1960’s or early 1970’s. Like many other Japanese varieties, it is the offspring of Saaz and Whitebine conceived through open pollination. It is considered superior to Shinshuwase only because of it’s increased yield and improved mildew resistance."
,Hersbrucker E,Aroma,4,6,5,7,22,24,UK,Retains 58% alpha acid after 6 months storage at 20ºC (68ºF),0.63,,46,,29,,9,,0.2,,,,,,"Strisselspalt, Mount Hood","Lager, Pilsner, Bock, Weizenbock, Wheat Beer, Belgian Ale, Kölsch, Munich Helles",,,"Hersbrucker E (for England) was planted and grown at Wye College, England in the 1970’s. It is largely identical to the original Hersbrucker variety grown in the Hersbruck Mountains. The storage stability, especially of its soft resins, is low."
,Buzz Bullets,"Bittering, Aroma",8,10,,,,,US,,,,,,,,,,,,,,,,,"India Pale Ale, Lager, American Ales",,Floral and citrus notes,Buzz Bullets is a proprietary blend created by Yakima Valley Hops. It is said to have a clean bitterness and impart some floral and citrus notes.
,Calypso,"Bittering, Aroma",12,14,5,6,40,42,US,Retains 65-70% alpha acid after 6 months storage at 20ºC (68ºF),1.6,2.5,30,45,20,35,9,15,1,,,,,,,"Ale, Stout, Barley Wine",,"Crisp, fruity aroma. Flavour of Apples, pears, stone fruit and lime citrus.","Calypso is a Yakima Valley bred, dual-purpose diploid hop with Hopsteiner lineage on both sides. Despite its aroma-focused origins, it boasts a high alpha acid percentage. In addition to this, Calypso features crisp, fruity aromas and flavors that exhibit elements of apple, pear and stone fruit brightened with hints of lime citrus. It is marvellously complex with an almost understated earthy, tea-like note."
,Green Bullet,"Bittering, Aroma",11,15,2.9,7,38,43,New Zealand,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),0.46,1.13,38.3,53,19,28.2,19,20,9.2,20,,,,,"Liberty, Hallertau, Crystal, Mount Hood, Ultra","Bock, Saison, India Pale Ale",,Aromas of raisin and fruit,"Green Bullet is a New Zealand hops variety, one of the first generation of new crosses attempted when Black Root Rot descended on New Zealand hops in 1949."
,Helga,Aroma,5.4,7.3,5,7,20,23,Australia,,0.6,1.,1,13,35,55,10,15,,,,,,,Hallertau,Ales,Southern Hallertau,"Noble-style aroma, mildly floral and spicy","Helga is an Australian cultivar, formerly known as Southern Hallertau. Helga was bred by Hop Products Australia from Hallertau Mittelfrüher in an effort to dissect and retain its Hallertau’s characteristic noble aroma. Helga is easy to work with—no matter at what point she is added into the brew, even when dry hopping, the results are said to be ever pleasant. It is mildly floral and spicy. Helga made a quiet debut, established in 1996 it took nearly 10 years to catch on commercially. Currently, production is being increased as craft brewers take interest."
,Warrior®,Bittering,14.5,18,4.3,6,22,28,US,Retains 76%-76% alpha acid after 6 months storage at 20ºC (68ºF),1,2,40,50,15,20,8,11,0,1,,,,,"Nugget, Columbus","India Pale Ale, American Ales",,Aromas of citrus and spice,"Developed by Select Botanicals Group, proprietary American hop Warrior® is fast becoming a favorite, especially with US craft breweries. Among its desirable traits are its clean, smooth bittering and a somewhat inconspicuous citrusy and spicy aroma. Its pedigree is a unknown to the public. Dogfish Head Brewery employs Warrior in many of its brews, most notably in its 60 Minute IPA."
,Cobb,Aroma,4.4,6.7,1.9,2.8,26,32,UK,Retains 46% alpha acid after 6 months storage at 20ºC (68ºF),0.8,1.,,,,,,,,,,,,,"East Kent Golding, Early Bird","India Pale Ale, English Ales",Cobb’s Golding,,"Cobb, also known as Cobb’s Golding, is a product of Canterbury Whitebine. Introduced in 1881 by Mr. John Cobb, it is among the varieties known as ‘Goldings’. A high-yielding aroma hop, it bears a classic English flavor and is lightly hoppy. In the past, it was in demand for copper and dry hopping in traditional English ales though its production has been curtailed now due to a susceptibility to wilt and mildew. It is known for its exquisite and delicate aroma."
,Perle (US),"Bittering, Aroma",6,10,3,5,27,32,US,Retains 80%-85% alpha acid after 6 months storage at 20ºC (68ºF),0.7,1.2,45,55,28,33,10,12,0,1,,,,,"Perle (GR), Northern Brewer (GR)","Hefeweizen, Belgian Strong Ale, Lager, Pilsner, Kölsch",,Faint spicy aroma,"While genetically indistinct from the original German variety, US-grown Perle tends to exhibit higher alpha acids potential and a slightly different balance of oils. Specifically, it tends to be higher in myrcene with lower in humulene, which may make US-grown Perle marginally more useful for bittering."
,Waimea,"Bittering, Aroma",16,19,7,9,,,New Zealand,,2.,,60,,10,,3,,5,,,,,,Columbus,"India Pale Ale, Pale Ale",,Citrus and pine,"Waimea is a new New Zealand dual-use variety originally bred for high alpha and bittering qualities. Released in 2012, it’s heritage stems from Californian Late Cluster, Fuggle and Saaz. Despite its incredibly high alphas, brewing characteristics of Waimea include some decidedly favorable flavor and aromas of fresh-crushed citrus and pine."
,Wai-iti,Aroma,2.5,3.5,4.5,5.5,22,24,New Zealand,,1.6,,30,,28,,9,,13,,,,,,Riwaka,"Pale Ale, India Pale Ale, Wheat Beer",,Lime citrus and stone fruit notes,"A truly modern triploid hop, Wai-iti brings forth a fresh splash of lime and stone fruit. It was released to brewers in 2011 alongside Kohatu by New Zealand Plant & Food Research and features higher beta acids than alpha acids, low cohumulone and robust oil content."
,Willamette,Aroma,4,6,3,4,30,35,US,Retains 60%-65% alpha acid after 6 months storage at 20ºC (68ºF),1,1.5,30,55,20,30,7,8,5,6,,,,,"Fuggle, Styrian Golding, Tettnanger (US), Glacier, Styrian Golding","Ale, American Ales, Pale Ale, Brown Ale, English Ales, Porter",,"Heraceous spiciness, floral, fruity","Considered a pillar of the US hops industry, Willamette is one of the most prolifically grown varieties in the US. First selected in Oregon in 1967, it received USDA accession in 1971 and was released the same year."
,Orion,"Bittering, Aroma",8,9,4.94,5.73,25,29,Germany,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),1.8,2.,41,56,17,26,7,13,0,1,,,,,Perle,Helles,,,"The German Hop Research Institute in Hüll, Germany developed Orion hops sometime during the 1980s. It is the result of a cross between Perle and a German male."
,Kohatu®,Aroma,6.80,,4,6,21,,New Zealand,,0.12,1.,35.5,,36.5,,11.5,,0.3,,,,,,,"Ale, Pale Ale, India Pale Ale",,Intense tropical fuit and pine needle aroma,"Kohatu®, meaning stone or rock in Maori, was released alongside Wai-iti in 2011. It was named after Kohatu, a small town nestled by the Motueka River, south west of Nelson, New Zealand. Kohatu is not as fruity as Wai-iti, but with its intense aroma of tropical fruit and freshly crushed pine needles, it adds a wonderfully fresh character to beer. Even with a low alpha, when used as an early addition it features a pleasant, rounded bitterness."
,Sonnet,Aroma,2.6,6,,,,,US,,,,,,,,,,,,,,,,"Saaz, East Kent Golding, Crystal, Strisselspalt, Hersbrucker","English Ales, American Ales, German Ales, Belgian Ales, Lager",Sonnet Golding,"Deep floral aroma, grass, earth, flavors of oak and honey","Sonnet is a new, Oregon-grown hop said to have Saaz and Styrian Golding characteristics. It has a low alpha acid content and makes a nice aroma hop, exhibiting deeply floral, grassy and earthy notes alongside a balanced, rounded bitterness. Flavor-wise it is said to demonstrate some fruitiness with hints of oak and honey."
,Triskel,Aroma,8,9,4,4.7,20,23,France,,1.5,2.,60,,13.5,,6.1,,1,,,,,,"Strisselspalt, Ahtanum™, Centennial, Chinook, Simcoe®","Belgian Ale, Saison, Kolsch, Pilsner, Pale Ale, India Pale Ale, Lager, Wheat","French Triskel, FR Triskel","Floral aroma, subtly fruity, citrusy","Developed in France in 2006, Triskel is a cultivar of the French hop, Strisselspalt and English varietal, Yeoman. With a more pronounced nose than its French parent, Triskel makes a unique first wort alternative and its notable aroma qualities make it well suited as a late addition or for dry hopping. Highly desired for Belgian-style or lighter ales, it features and elegant combination of both floral and subtle fruity notes with some citrus."
,Cascade (New Zealand),"Bittering, Aroma",6,8,5,5.5,21,24,New Zealand,,,,,,,,,,,,,,,,"Cascade (US), Hallertau, Goldings, Ahtanum, Centennial","Barley Wine, American Pale Ale, Imperial Stout, Ale, Lager",,Similar to Cascade (US) but more subdued,"New Zealand Cascade features largely the same pleasant and distinctive ‘Cascade’ characteristics enjoyed by its US twin but are higher in alpha acids. Some dispute this comparison however, noting that while its characteristics are similar, New Zealand grown Cascade is more subdued in both flavor and aroma. Original Cascade was developed from English variety Fuggle and the Russian variety, Serebrianka."
,Hallertauer Taurus,"Bittering, Aroma",12.3,17.9,4,6,23,25,Germany,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),0.9,1.5,30,,30,31,8,,0,1,,,,,"Magnum, Merkur, Herkules","Schwarzbier, Oktoberfest","German Taurus, Taurus","Chocolate, banana, spice, pepper, curry","German born Hallertau Taurus features an earthy, strong aroma with hints of chocolate and banana, spice and pepper and finishes with a zesty curry undertone. It was released in 1995."
,Mandarina Bavaria,Aroma,8.5,10.5,5,6.5,33,,Germany,,2.,,70,,5,,2,,1,,,,,,"Columbus, Nugget, Cascade (US)","Belgian Ale, French Ale",,"Tangerine, Citrus","Daughter of Cascade (US), Hallertau Blanc and Hüll Melon, Mandarina Bavaria originated in Hüll, Germany and was released to the brewing masses in 2012. It is useful for both flavor and aroma and imparts slightly sweet notes of tangerine and citrus, especially when used for dry hopping."
,Progress,Aroma,6,7.5,2,3.3,25,34,UK,Retains 74% alpha acid after 6 months storage at 20ºC (68ºF),0.5,1.2,24,33.5,36,47,10.6,14,1,,,,,,"East Kent Golding, Fuggle","English Bitters, Pale Ale, Porter, Stout, Czech Pilsner, Bock, Cask Ale, Wheat",,"Sweet flavor, Fuggle-like aromas of grass, mint and earth. Subtle bitterness.","Progress was bred in the 1950’s at Wye College in England and released in 1964 as a low-cost alternative for Fuggle hops. Slightly sweet with subtly bitter, it features pleasant and Fuggle-like floral aromas of grass, mint and earth."
,Shinshuwase,Aroma,4.7,8.3,4,6.1,51,,Japan,Retains 61% alpha acid after 6 months storage at 20ºC (68ºF),0.42,0.98,57.5,,12,,20.3,,0.1,,,,,,"Saaz, Hallertau, Santiam",,"Shinshu-Wase, Shinshu Wase",Lemon aromas,"Grown exclusively in Japan, Shinshuwase is a high yielding aroma hop. It dates back to the early 1900’s, possibly earlier. While it still exists, it has largely been replaced by Kirin II, Toyomidori, Kitamidori and Eastern Gold as a commercial crop."
,Strisselspalt,Aroma,1.8,5.7,2.5,6,20,27,France,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),0.6,0.9,35,52,12,32,8,10.3,1,,,,,,"Liberty, Hallertau, Mt Hood, Crystal, Hersbrucker","Lager, Saison, Blonde Ale, Amber Ale, Belgian Ale, Bock, Maibock, Golden Ale, Belgian Pale Ale","French Strisselspalt, Strisselspalter","Pleasant continental-style aroma, herbal, floral, spicy, citrus, fruit","Strisselspalt hails from the Alsace region of France around Strasbourg and is likely related to German Spalt and/or Hersbrucker hops. Thought to be an old land race, its acreage is dwindling due to its inherent low yield but it survives largely on the back of a strong domestic demand for the variety."
,Fuggle (US),Aroma,4,5.5,1.5,2,25,33,US,Retains 60%-65% alpha acid after 6 months storage at 20ºC (68ºF),0.7,1.4,24,28,35,40,11,13,4,5,,,,,"Fuggle, Willamette, Styrian Golding, Tettnanger","English Pale Ale, Belgian India Pale Ale, Extra Special Bitter, Brown Ale, Red Ale",US Fuggle,,"Fuggle (US) has slightly less aroma impact than its English counterpart. Grown at first in Oregon and now in Washington, it features a more balanced oil profile and higher alpha acid content than the original UK variety giving it a fruitier flavor profile. In commercial circles, it has now largely been replaced by Willamette."
,Wuerttemberger,Aroma,5,,4,,28,,Germany,Retains 72% alpha acid after 6 months storage at 20ºC (68ºF),1.25,,59,,18,,6,,4,,,,,,,"Lager, Pilsner",Wurttemberger,Pleasant European-style noble aroma,"Wuerttemberger is an old, German, noble aroma hop which is no longer grown commercially. Thought to have come from a landrace, its low vigor and poor yield made it untenable for commercial use."
,Calicross,"Bittering, Aroma",5.8,7.9,4,7.8,36,44,New Zealand,Retains 78%-78% alpha acid after 6 months storage at 20ºC (68ºF),0.42,1.39,54,68,12,19,2,6,0,1,,,,,,"English Ale, Porter, Mild Ale, Bitter, Extra Special Bitter, Lambic, Amber Ale, Cask Ale, Stout, Oatmeal Stout, Strong Ale, Nut Brown Ale, Golden Ale, Christmas Ale",,"Floral, fruity and earthy flavor and aroma","New Zealand’s Calicross emerged in the 1960’s and by-and-large disappeared by the 1980’s. Born out of a dire need for disease resistant varieties, Calicross was created as a cross between Fuggle and Late Cluster – the later being the crop decimated in the late 1940’s by Black Root Rot."
,Pride of Ringwood,Bittering,7,11,4,8,33,39,Australia,Retains 45-55% alpha acid after 6 months storage at 20ºC (68ºF),1.2,,25,53,2,8,5,10,1,,,,,,"East Kent Golding, Centennial, Galena, Cluster","Amber Ale, Lager, Fruit Lambic, Pale Ale, Australian Lager, Strong Ale, Golden Ale, American Pale Ale",,"Spicy, fruity aroma","When Australian hop Pride of Ringwood was released in 1958 it had the distinction of being the hop with the highest alpha acid content in the world. Though that title has been long surpassed it is still an incredibly popular bittering hop. Best utilized fresh, Pride of Ringwood is primarily a bittering hop but also exhibits spicy, fruity aromas when used as a late addition."
,Lubelska,Aroma,3,5,2.5,4,25,28,Czechoslovakia,Retains 70%-75% alpha acid after 6 months storage at 20ºC (68ºF),0.5,1.2,22,35,30,40,6,11,10,14,,,,,"Saaz, Sterling","Pilsner, Lager","Lublin, Lubelski",Noble-like character,"Often thought to be a Polish hop, Lubelska actually originates in Zatec, Czechia. Sometimes marketed as Lublin or Lubelski, Lubelska’s high humulene content is trumped only by its rare, high levels of farnesene. This oil profile results in interesting aromas of magnolia and lavender. It is considered to very noble-like in character. Thought to be a landrace cultivar of Saaz, it is now a mainstay of Polish breweries."
,Sylva,Aroma,5.6,7.3,3,4.6,20,25,Australia,,1.0,1.4,26,36,18,27,5,8,22,28,,,,,"Hallertau Mittelfrüh, Helga, Saaz","Pilsner, Lager, California Common, Pale Ale","Australian Sylva, AU Sylva, Silva","Flavors of the forest and fresh-cut timber, subtle and hoppy bohemian-style aroma","Bred by Hop Products Australia in Tasmania in 1997, Sylva is an Australian aroma hop with a subtle and complex tasting profile. Progeny of Saaz, it is these roots that suit it well to light lagers and pilsners, imparting a bohemian-style hoppiness reminiscent of its Czech parent."
,Cascade (US),"Bittering, Aroma",4.5,8.9,3.6,7.5,33,40,US,Retains 48%-52% alpha acid after 6 months storage at 20ºC (68ºF),0.8,1.5,45,60,8,16,4,6,4,8,,,,,"Centennial, Amarillo, Columbus, Ahtanum","Barley Wine, American Pale Ale, Ale, Lager",,"Floral, with elements of citrus and notes of grapefruit","Pioneered in the 1950’s by Jack Horner and his team at Oregon State University, Cascade hops have since gone on to become one of the most popular American hops of all time. Released in 1972, Cascade now represents around 10% of all hops grown in the United States."
,Southern Promise,"Bittering, Aroma",9.5,11.5,3.6,5.4,20,22,Slovenia,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),0.7,0.7,22,,26,26,9,,0,1,,,,,Southern Brewer,"Lager, Pale Ale",,"Smooth bitterness, woody, earthy","Southern Promise was bred specifically for the South African region. Created from Southern Brewer and a wild Slovenian male, it was developed in an effort to produce a variety that would grow well in areas with limited sunlight."
,Banner,Bittering,8.4,13,5.3,8,34,,US,Retains 43% alpha acid after 6 months storage at 20ºC (68ºF),2.17,,66.4,,11.8,,7.7,,,,,,,,"Aquila, Cluster, Galena",Bitter,,"Moderate bittering potential, pleasant aroma","Banner did not fare well on the commercial market. Bred from a Brewer’s Gold seedling in the early 1970’s through open pollination, its first test plot was abandoned due to severe mildew problems."
,Hersbrucker Pure,Aroma,4.7,6,2,3,20,28,,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),0.6,1.2,24,50,10,27,4,11,0,1,,,,,"Hersbrucker, Hallertauer Mittelfrüh","Pilsner, Hefeweizen, Lager",,Pleasing noble aroma,"The offspring of Hallertauer Mittelfrüh, Saaz and a wild German hop, Hersbrucker Pure was originally tested by brewing giant Anheuser Busch as a replacement for Hersbrucker. After their interest waned in the variety, it failed to catch on as a viable commercial prospect. It has an noble aroma and flavor profile similar to that of its parents."
,Mount Rainier,"Bittering, Aroma",5,8.1,5,7,21,24,,,,,,,,,,,,,,,,,"Hallertau, Fuggle","Lager, American Ale, Porter",Mt. Rainier,"Hallertau-like aroma, notes of citrus and licorice","Like Mount Hood, Mount Rainier is named after one of the many active volcanoes in Washington State. Born out of the USDA-ARS hop breeding program in collaboration with Oregon State University, Mount Rainier is the progeny of Magnum and a USDA male. It has noble, Hallertau-like aroma characteristics alongside notes of citrus and a hint of licorice. It is excellent for both aroma and bittering."
,Golding (US),Aroma,4,6,2,3,20,20,US,Retains 66% alpha acid after 6 months storage at 20ºC (68ºF),0.4,1.,25,35,35,45,13,16,1,,,,,,"East Kent Golding, Fuggle, Willamette, Progress, Whitbread Golding","Bitter, Pale Ale, Belgian Ale, Belgian IPA, Barley Wine, Imperial Stout, Red Ale, Irish Stout, American Pale Ale","US Golding, US Goldings, Northwest Goldings","Delicate English-style aromas, fruit, herbs","Golding (US) hops are descended from the original East Kent Golding. In North America, they were first grown in British Columbia, and then appeared in the state of Washington in 1993 and Oregon after that. They are no longer grown commercially in Canada. They feature a subtle bitterness when used as a early addition but are predominantly used for their quintessentially ‘English’ flavor and aroma."
,Motueka,"Bittering, Aroma",6.5,8.5,5,5.5,29,,New Zealand,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),0.8,,47.7,,3.6,,2,,12.2,,,,,,"Saaz, Saaz (US), Sterling","European Ale, English Ale, Dark Lager, Pilsner, Belgian Ales, Lager, Maibock, Ales","B Saaz, Belgian Saaz",Tropical fruit and citrus,"Formerly known as Belgian Saaz or B Saaz, Motueka is a premier New Zealand hop. Developed by HortResearch, this triploid was bred from Saaz and an unnamed New Zealand breeding strain and lends itself well to Lagers, Pilsners and Belgian Ales."
,Pacific Jade,Aroma,12,14,7,8,24,,New Zealand,,1.4,,33.3,,32.9,,10.2,,0.3,,,,,,Magnum,"Pale Ale, India Pale Ale",,Flavors of lemon citrus and cracked pepper,"Released from HortResearch’s New Zealand Hop Research Program in 2004, Pacific Jade started its commercial existence predominately limited to the New Zealand domestic market. Now however, it is finding its way into inventories worldwide."
,Bouclier,"Bittering, Aroma",5.2,9,2.4,3.3,20,25,UK / France,,1.1,1.6,38,,34,,3.40,,,,,,,,,"English Ales, Pale Ale, Lager, Imperial Stout, Saison, Pils, Blonde",,"Aromas of herb, grass and spice alongside a citrus and floral character","Emerging in 2005, Bouclier is a cross between Alsace-grown Strisselspalt and a wild male from Wye, Kent. It is unclear however if this variety was first developed in the UK or across the Channel in France."
,Willow Creek,"Bittering, Aroma",,,,,,,,,,,,,,,,,,,,,,,,,,,"Native to Colorado, neomexicanus variety Willow Creek is very new to the brewing scene. There is very little information about them available but they are reportedly considered to be similar to other available neomexicanus varieties Amallia, Neo1, and MultiHead."
,Pacific Sunrise,Bittering,12.5,14.5,6,6.5,27,30,New Zealand,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),1.7,2,45,55,19,25,6,9,0,1,,,,,Pacific Gem,Lager,,,"Released in 2000 by HortResearch in New Zealand, Pacific Sunrise’s take up by commercial breweries has been sluggish. Despite this, it features favorable bittering properties and a pleasant piney aroma. It is the result of a cross between the result of a European and New Zealand male on one side and a California Cluster and a Fuggle on the other."
,Summit™,Bittering,16,18,3.3,4.3,26,33,US,Retains 85%-85% alpha acid after 6 months storage at 20ºC (68ºF),1.5,3,30,50,15,25,10,16,0,1,,,,,"Columbus, Simcoe®, Apollo","India Pale Ale, Barley Wine, Imperial Stout",,Citrus aromas,"Developed in 1998 by The American Dwarf Hop Association, a joint hop breeding venture between the owners of Roy Farms, Wyckoff Farms and Green Acres Farms, Summit™ was released for brewing trials in 2000. It has the distinction of being the first semi-dwarf variety to be bred in the United States and is currently the only low trellis variety grown in the country. Its pedigree is decidedly complex, hailing from a combination of Nugget, Zeus and Lexus hops."
,Hersbrucker,Aroma,2,5,4,6,19,25,Germany,Retains 55%-65% alpha acid after 6 months storage at 20ºC (68ºF),0.5,1.3,10,25,15,35,7,15,0,1,,,,,"Hallertauer Tradition, Spalter Select, Mount Hood, Strisselspalter, Hallertau, Liberty","Dunkel, Strong Ale, Pilsner, Altbier, Weizenbock, Golden Ale, Marzen, Pale Ale, Wheat, Specialty Ale, Hefeweizen, Light Ale, Lager","Hersbrucker-G, Hersbrucker Late, Hersbrucker Spaet, Hersbrucker Spat","Floral, fruity and spicy aromas",German hop Hersbrucker was originally bred with the intention of producing a variety resistant to verticillium wilt that could act as a replacement for Hallertau Mittelfrüh.
,Tardif de Bourgogne,Aroma,3.1,5.5,3.1,5.5,20,,France,Retains 66% alpha acid after 6 months storage at 20ºC (68ºF),0.49,0.73,44,,13,,5.7,,0.2,,,,,,Precoce de Bourgogne,"Ale, Lager",,"Mild, European-style aroma","Translated into English, Tardif de Bourgogne means Late Burgundy. Similar to Precoce de Bourgogne (Early Burgundy), it is an aroma hop grown in small quantities in the Alsace region of France."
,Bravo,Bittering,14,17,3,5,29,34,US,Retains 70% alpha acid after 6 months storage at 20ºC (68ºF),1.6,2.4,25,50,18,20,10,12,0,1,,,,,"Columbus, Zeus, Apollo, Magnum, Nugget","India Pale Ale, American Pale Ale, Extra Special Bitter",,"Spicy, earthy, and lightly floral aroma","Bravo’s high alpha content is largely attributable to its parent variety, Zeus. It’s bittering quality is considered smooth and in addition features light floral aromas and subtle flavors of orange and stone fruit making it highly desirable for use in many different ale styles."
,Golding (BC),Aroma,4,7,,,,,Canada,,,,,,,,,,,,,,,,"East Kent Golding, Golding (American), Fuggle, Willamette","English Pale Ale, Stout, Porter","British Columbia Golding, BC Golding","Exhibits an earthy aroma profile with a flavor profile of smooth, rounded spice.","British Columbia Golding is produced, as one might expect, in Canada. Before the hops industry was fully established in the Pacific Northwest, BC Golding was the only North American-grown Golding. Its alphas are low so it’s bittering capacity is mild at best while it puts forward an earthy aroma profile and flavors of smooth, rounded spice. BC Golding makes a good, British-style pale and has also been noted for it’s successful use in Stouts and Porters."
,Hallertau,Aroma,3.5,3.5,3.5,4.5,20,26,Germany,Retains 52%-58% alpha acid after 6 months storage at 20ºC (68ºF),0.6,1.2,35,44,30,55,10,15,0,1,,,,,"Liberty, Hallertau (US), Hallertauer Tradition","German Pilsner, Pale Ale, Wheat, American Lager","Hallertauer, Mittelfrüh, Mittelfrüher, Hallertauer Mittelfrüher, Hallertau Mittelfruh",Lightly flowery and spicy aroma,"Hallertau, Hallertauer and Hallertauer Mittelfrüher are all names for the original German Hallertau variety. Dating back more than 100 years, it stems from an old German landrace and is one of the original four “noble” hops. It features a lightly flowery and spicy aroma."
,Blue Northern Brewer,"Bittering, Aroma",6,8,3,4,24,,Belgium,Retains 78% alpha acid after 6 months storage at 20ºC (68ºF),0.76,,27,40,29,,10,,,,,,,,Chinook,India Pale Ale,,,The Blue Northern Brewer was discovered as a mutant with deep reddish-blue leaves growing in a Belgian hop yard in the early 1970’s. It was released as an ornamental variety in 1992. Its use for brewing is plausible but tentative.
,Canadian Redvine,Aroma,5,,5,6,47,,Canada,Retains 80% alpha acid after 6 months storage at 20ºC (68ºF),11.2,,70,,2,,2,,4,7,,,,,"Newport, Magnum, Galena","Red Ale, Canadian Porter, French Porter",,"Mild cherry flavor, grapefruit peel aroma","Canadian Redvine, with its dense and profuse rhizomes, high vigor, excellent yield and disease resistance makes it seem like an interesting prospect but with such a high cohumulone content and low alphas, it is not widely used. It is said to impart mild flavors of cherry, berries, pine and even citrus."
,Columbia,Aroma,8.8,,4,,40,,,Retains 72% alpha acid after 6 months storage at 20ºC (68ºF),1.2,,55,,17,,7,,4.1,,,,,,,,,"Pungent hoppy kick, twist of lemon citrus","Columbia enjoyed limited production in the 1980’s but was later discontinued in favor of Willamette. However, as craft brewers have started to discover Columbia’s unique, pungent kick of hoppiness and notable twist of lemon citrus, it seems to have come back in to fashion. Columbia was returned to production in 2011. Now it’s used in Widmer Bros. Columbia Common Spring Ale among others."
,Fuggle,Aroma,2.4,6.1,2.1,2.8,25,29,UK,,0.44,0.83,43.4,,26.6,,9.1,,4.3,,,,,,"Fuggle (US), Willamette, Styrian Golding, Tettnanger, Newport","English Ale, Porter, Mild Ale, Bitter, Extra Special Bitter, Lambic, Amber Ale, Cask Ale, Stout, Oatmeal Stout, Strong Ale, Nut Brown Ale, Golden Ale, Christmas Ale","Fuggles, Fuggle UK",,"The Fuggle hop originates in England and was first discovered in 1861 in a hop yard owned by George Stace in Kent. Some 14 years later it was officially named and introduced by Richard Fuggle of Benchley in 1875. Similar to a Styrian Golding, is noted for its distinct European aroma and has enjoyed a long, versatile run. At its peak nearly 100 years ago Fuggle was known as a dual-use hop. Today however, as other higher alpha acid varieties have become more prevalent, it’s now more prominently used for its aroma."
,Omega,Aroma,9,10,3,4,29,,UK,Retains 78% alpha acid after 6 months storage at 20ºC (68ºF),1.72,,53,,17,,5,,,,,,,,,,,Pleasant European aroma,"Omega, despite its pleasant European aroma, decent alpha, storage stability and wilt resistance, exhibited a yield far too low to gain any major foothold commercially. Omega was Dr. R. A. Neve’s swansong before leaving his post in 1984 as head of the Hop Section at the esteemed English horticultural institution, Wye College."
